uID,rec1,rec2,rec3,rec4,rec5,rec6,rec7,rec8,rec9,rec10,rec11,rec12,rec13,rec14,rec15,rec16,rec17,rec18,rec19,rec20,rec21,rec22,rec23,rec24,rec25,rec26,rec27,rec28,rec29,rec30,rec31,rec32,rec33,rec34,rec35,rec36,rec37,rec38,rec39,rec40,rec41,rec42,rec43,rec44,rec45,rec46,rec47,rec48,rec49,rec50,rec51,rec52,rec53,rec54,rec55,rec56,rec57,rec58,rec59,rec60,rec61,rec62,rec63,rec64,rec65,rec66,rec67,rec68,rec69,rec70,rec71,rec72,rec73,rec74,rec75,rec76,rec77,rec78,rec79,rec80,rec81,rec82,rec83,rec84,rec85,rec86,rec87,rec88,rec89,rec90,rec91,rec92,rec93,rec94,rec95,rec96,rec97,rec98,rec99,rec100
1,c,c,a,c,a,a,c,c,b,b,a,b,c,c,c,c,c,c,b,c,b,b,c,c,b,b,a,c,b,c,a,c,c,a,c,c,c,b,c,c,c,b,c,c,c,a,a,c,a,a,a,a,a,a,a,c,c,c,c,a,c,a,a,a,a,c,c,a,b,b,c,a,a,c,b,c,b,a,c,c,a,b,c,c,b,a,a,c,c,c,b,c,c,b,c,a,c,b,c,c
5,c,c,b,c,c,b,b,a,c,b,b,c,b,c,a,b,a,a,a,c,a,a,c,b,a,a,c,b,c,b,c,a,b,b,a,c,b,c,c,a,c,a,c,c,c,c,b,c,c,b,c,b,c,b,c,a,c,c,c,c,c,c,c,c,b,b,a,a,c,a,a,c,a,c,b,a,a,a,a,c,c,a,b,c,c,b,c,c,c,b,c,a,a,c,b,c,b,b,c,c
7,c,b,a,c,a,a,a,c,a,a,c,a,c,c,a,a,b,b,b,a,a,c,a,a,c,b,c,c,a,c,b,c,a,c,b,c,a,b,b,c,c,a,a,c,a,a,a,b,b,b,c,c,b,b,b,c,a,c,a,a,b,b,b,b,b,c,c,c,b,c,c,a,c,c,c,c,c,a,c,c,a,c,c,c,a,a,b,c,a,c,c,c,c,a,c,c,c,a,a,c
8,c,b,a,c,a,b,c,a,c,b,c,a,c,a,b,a,c,b,a,b,a,a,b,a,c,b,c,a,b,a,a,b,c,a,c,a,b,c,a,c,c,a,c,c,a,a,c,c,c,b,a,b,c,c,c,a,b,c,a,c,a,b,c,b,b,b,b,c,c,a,c,c,a,c,c,c,c,a,a,a,b,a,c,c,a,c,b,c,b,a,b,c,c,a,a,a,a,a,c,c
11,c,c,a,b,a,c,c,a,a,c,b,c,c,b,b,a,b,a,c,b,a,b,b,b,b,c,b,c,b,a,b,b,c,b,c,c,b,b,c,c,c,c,c,b,b,c,c,c,a,b,c,b,b,c,b,c,a,a,a,c,b,b,c,b,b,b,c,c,b,c,c,c,c,c,a,c,c,b,c,b,b,c,c,a,c,c,c,c,b,b,a,a,a,a,c,b,b,c,b,a
13,b,b,c,a,b,c,c,c,a,b,a,c,a,a,c,a,c,a,c,a,c,c,b,a,a,a,a,c,b,c,c,c,b,c,b,c,c,c,c,c,c,c,c,c,c,c,c,a,a,c,a,c,c,c,b,b,a,a,c,c,a,c,c,b,a,c,c,c,b,a,c,c,c,a,c,a,b,c,c,b,c,a,c,b,a,c,c,a,c,c,a,c,a,c,a,c,c,c,c,c
14,a,c,a,a,c,a,a,c,a,c,a,c,b,c,b,b,c,c,a,c,a,c,c,c,c,c,c,b,c,c,c,c,a,c,c,c,a,a,c,a,c,a,a,a,c,c,a,c,a,b,c,c,c,a,a,a,c,a,c,c,a,b,c,c,c,a,b,b,c,a,c,b,a,c,a,c,a,c,a,b,c,c,b,a,a,c,c,b,a,c,b,b,c,b,c,b,c,c,b,c
15,b,c,c,a,b,b,c,c,a,b,a,c,a,a,b,c,c,c,b,a,c,a,c,c,c,a,a,a,b,a,a,c,c,c,c,a,c,a,a,b,c,b,b,a,c,c,a,c,a,a,a,a,a,b,c,a,c,c,a,b,a,c,c,c,b,a,c,b,c,c,b,a,c,a,b,c,c,c,b,c,a,c,a,a,b,b,c,b,c,a,c,c,b,a,a,a,c,a,c,b
17,c,c,a,b,b,c,c,a,b,a,b,c,b,a,b,c,a,c,a,a,a,c,c,c,a,c,c,c,c,b,c,c,a,c,c,c,c,c,a,b,c,c,c,c,b,b,a,c,b,c,a,a,c,a,a,a,c,c,b,b,c,a,b,c,c,c,b,c,c,c,c,b,c,c,c,c,a,b,a,c,a,c,a,c,c,b,b,a,a,a,b,c,c,c,a,b,b,a,c,b
23,c,a,b,a,b,c,a,c,a,a,a,a,c,c,c,c,c,b,c,b,b,b,b,c,b,c,b,c,c,c,c,c,b,c,c,b,c,a,c,c,a,c,a,b,a,c,c,a,c,c,b,a,a,c,b,c,a,a,c,b,b,a,c,b,b,c,b,a,c,b,c,b,a,c,c,c,b,b,b,b,a,c,b,c,a,c,c,b,a,b,c,b,c,a,b,a,c,c,c,b
30,b,a,c,c,c,a,c,c,b,c,b,c,c,c,b,c,c,a,c,b,c,c,a,b,b,c,b,c,b,b,b,c,c,a,b,a,c,c,a,b,a,c,b,a,b,c,c,c,c,a,b,c,c,a,c,c,c,b,a,a,a,a,c,b,c,a,c,b,a,a,a,b,c,a,c,c,c,c,a,c,a,c,a,b,b,c,c,b,c,c,c,c,b,a,b,c,c,b,b,b
32,a,c,a,c,a,b,c,c,c,a,b,b,c,c,a,a,c,c,b,a,c,b,c,a,c,c,c,c,b,c,c,c,c,c,c,a,b,c,c,c,a,b,c,c,b,a,a,b,c,c,a,b,a,c,c,b,b,a,b,c,b,c,a,c,c,c,a,a,b,c,c,a,b,c,b,c,b,b,a,b,b,a,b,c,b,c,c,c,a,b,c,c,a,b,c,c,b,c,a,c
34,a,b,a,a,c,a,a,b,c,c,c,a,a,a,b,a,c,a,c,c,b,c,b,a,b,c,a,c,c,b,a,b,c,a,a,a,a,c,c,a,b,b,a,a,a,a,a,c,a,c,b,a,b,c,c,c,c,a,a,c,c,c,c,a,c,a,b,a,a,c,c,c,a,b,a,a,a,b,a,a,c,b,b,c,c,a,c,b,c,b,c,a,b,c,a,a,c,c,a,b
38,c,a,b,c,c,a,c,b,c,b,c,a,a,a,b,c,b,a,a,a,a,b,c,a,a,c,a,c,b,b,b,b,b,a,b,b,b,b,c,c,c,a,a,c,a,b,a,c,c,a,c,a,a,c,c,c,a,a,b,c,a,b,c,b,b,c,b,a,a,a,c,b,b,a,a,c,b,c,c,c,c,b,c,b,c,a,c,b,a,c,c,b,c,b,b,b,b,c,b,c
43,c,a,c,a,a,c,c,b,c,c,c,c,c,c,b,a,b,c,a,a,c,b,c,b,c,b,a,c,b,c,a,a,b,c,a,b,c,b,b,c,c,c,b,b,c,a,a,b,c,c,b,b,c,c,b,b,b,b,c,a,c,c,c,c,a,c,a,a,c,c,c,a,b,c,c,c,b,a,a,c,c,a,c,b,c,b,b,b,c,a,b,c,b,a,c,a,c,a,c,a
44,c,b,c,c,a,b,c,c,a,c,c,c,a,c,a,c,a,a,b,b,c,c,a,c,c,c,c,c,c,b,a,b,c,c,c,a,b,b,c,b,a,a,c,b,a,b,c,a,c,b,b,a,c,a,c,c,c,c,a,b,a,c,c,a,c,b,c,b,a,b,a,b,b,c,c,c,b,c,c,b,a,c,b,a,c,a,c,a,b,a,b,c,b,a,a,c,c,c,b,b
49,a,c,b,c,c,c,c,c,a,c,c,c,a,a,c,c,b,b,c,b,c,c,b,c,c,c,c,a,c,a,c,c,a,c,c,b,a,c,c,c,c,b,b,b,c,a,c,c,a,c,a,c,c,c,c,c,b,b,c,a,c,a,a,c,c,c,c,c,a,c,c,c,c,c,b,a,b,c,a,a,a,c,b,c,a,c,c,a,b,b,a,b,a,a,c,c,c,c,a,c
50,b,a,c,a,b,c,c,b,b,b,b,b,a,c,c,b,b,b,a,a,a,c,c,a,a,b,a,c,b,c,a,c,c,c,a,c,a,c,b,c,c,a,a,c,a,a,b,c,c,c,c,c,c,b,b,a,c,c,b,c,c,c,c,c,b,c,c,c,a,b,a,b,c,a,a,c,c,b,c,a,c,b,c,c,c,a,b,b,a,b,b,b,b,c,b,c,c,a,b,a
53,c,c,c,c,b,b,c,c,c,a,c,c,c,a,a,c,c,c,c,b,c,c,a,c,c,a,b,c,c,b,c,b,c,c,a,a,b,b,c,a,a,a,c,a,c,b,a,c,b,b,b,a,a,b,a,b,b,b,c,a,c,c,b,c,a,c,c,c,a,c,a,a,c,c,a,a,c,c,c,c,c,c,a,a,b,a,c,b,b,c,c,b,a,c,a,c,a,b,a,a
56,c,b,a,b,c,c,a,a,a,b,c,a,a,c,c,a,a,c,c,a,c,c,c,b,c,a,a,a,c,c,b,b,b,a,c,b,c,a,a,c,c,c,b,b,c,b,c,c,b,c,b,b,a,c,c,a,b,b,b,c,c,b,c,c,c,a,c,c,c,a,b,c,c,a,c,c,c,a,c,b,c,c,a,a,c,b,a,a,b,c,a,b,c,c,a,b,c,c,b,b
58,c,a,c,b,c,c,a,c,c,b,a,c,c,c,b,b,a,a,c,a,c,b,c,c,a,c,c,c,a,b,c,c,a,a,c,c,b,c,a,c,a,c,c,c,c,c,a,b,a,a,c,a,c,c,c,a,c,b,c,a,c,b,a,c,c,c,c,b,c,a,c,c,c,b,c,a,a,c,b,b,b,c,a,c,c,b,a,a,b,c,c,c,c,c,c,c,c,c,c,c
61,c,b,a,a,c,b,c,c,c,b,c,b,c,c,a,b,c,c,c,c,a,c,c,c,b,c,c,c,a,c,b,b,c,c,a,a,c,b,c,c,c,b,a,c,b,a,c,c,a,b,a,c,b,a,c,b,c,c,b,c,b,b,a,a,b,b,a,c,c,c,c,a,a,a,b,a,a,b,a,c,b,c,c,b,a,c,b,c,a,a,a,c,a,a,b,b,b,a,c,c
